Ticker,N_Obs,ADF_Statistic,p_valor,Lags_Usados,Critico_1%,Critico_5%,Critico_10%,Estacionaria,Status,Indexador
ENTV12,1102,-12.2162,0.0,8,-3.4363,-2.8642,-2.5682,True,Rejeita H0 (p=0.0000),IPCA
PETR25,1204,-27.5027,0.0,3,-3.4358,-2.864,-2.5681,True,Rejeita H0 (p=0.0000),IPCA
PETR26,944,-21.1225,0.0,3,-3.4373,-2.8646,-2.5684,True,Rejeita H0 (p=0.0000),IPCA
LIGHA3,1167,-8.5091,0.0,22,-3.4361,-2.8641,-2.5681,True,Rejeita H0 (p=0.0000),IPCA
LIGHA5,1018,-24.7493,0.0,2,-3.4368,-2.8644,-2.5683,True,Rejeita H0 (p=0.0000),IPCA
ECOV22,1160,-24.2891,0.0,3,-3.436,-2.864,-2.5681,True,Rejeita H0 (p=0.0000),IPCA
GASP15,1117,-21.7162,0.0,3,-3.4362,-2.8641,-2.5682,True,Rejeita H0 (p=0.0000),IPCA
CMGD27,770,-26.0279,0.0,1,-3.4389,-2.8653,-2.5688,True,Rejeita H0 (p=0.0000),IPCA
TCPA31,1168,-18.0329,0.0,6,-3.436,-2.864,-2.5681,True,Rejeita H0 (p=0.0000),IPCA
BLMN12,1022,-8.0184,0.0,17,-3.4369,-2.8644,-2.5683,True,Rejeita H0 (p=0.0000),IPCA
ETBA12,885,-18.1161,0.0,4,-3.4378,-2.8648,-2.5685,True,Rejeita H0 (p=0.0000),IPCA
TAES15,1049,-20.4294,0.0,4,-3.4366,-2.8643,-2.5682,True,Rejeita H0 (p=0.0000),IPCA
CTEE17,1090,-14.0398,0.0,8,-3.4364,-2.8642,-2.5682,True,Rejeita H0 (p=0.0000),IPCA
VALE29,1052,-14.3401,0.0,14,-3.4367,-2.8643,-2.5683,True,Rejeita H0 (p=0.0000),IPCA
ANHB18,872,-19.7377,0.0,3,-3.4379,-2.8649,-2.5685,True,Rejeita H0 (p=0.0000),IPCA
PETR27,775,-15.7936,0.0,5,-3.4389,-2.8653,-2.5688,True,Rejeita H0 (p=0.0000),IPCA
NEOE16,829,-16.7609,0.0,5,-3.4383,-2.8651,-2.5686,True,Rejeita H0 (p=0.0000),IPCA
CBAN12,736,-7.7732,0.0,19,-3.4395,-2.8656,-2.5689,True,Rejeita H0 (p=0.0000),IPCA
PETR16,925,-16.5787,0.0,5,-3.4375,-2.8647,-2.5684,True,Rejeita H0 (p=0.0000),IPCA
ELET42,785,-16.5691,0.0,4,-3.4388,-2.8653,-2.5687,True,Rejeita H0 (p=0.0000),IPCA
STEN23,861,-8.3907,0.0,18,-3.4381,-2.865,-2.5686,True,Rejeita H0 (p=0.0000),IPCA
NEOE26,840,-13.5603,0.0,7,-3.4382,-2.865,-2.5686,True,Rejeita H0 (p=0.0000),IPCA
ENGIA1,592,-22.7079,0.0,1,-3.4415,-2.8665,-2.5694,True,Rejeita H0 (p=0.0000),IPCA
TIET19,550,-7.1497,0.0,16,-3.4427,-2.867,-2.5697,True,Rejeita H0 (p=0.0000),DI
ENEV32,761,-22.4849,0.0,2,-3.439,-2.8654,-2.5688,True,Rejeita H0 (p=0.0000),IPCA
RUMOA2,659,-12.9256,0.0,6,-3.4404,-2.866,-2.5691,True,Rejeita H0 (p=0.0000),IPCA
PETR17,759,-16.9384,0.0,4,-3.4391,-2.8654,-2.5688,True,Rejeita H0 (p=0.0000),IPCA
EGIE17,1025,-15.652,0.0,7,-3.4368,-2.8644,-2.5683,True,Rejeita H0 (p=0.0000),IPCA
NATU27,571,-10.0387,0.0,4,-3.442,-2.8667,-2.5695,True,Rejeita H0 (p=0.0000),DI
ELPLB4,739,-22.3762,0.0,2,-3.4393,-2.8655,-2.5689,True,Rejeita H0 (p=0.0000),IPCA
PETR35,507,-15.9594,0.0,3,-3.4434,-2.8673,-2.5698,True,Rejeita H0 (p=0.0000),DI
TIET29,735,-15.6539,0.0,6,-3.4394,-2.8655,-2.5689,True,Rejeita H0 (p=0.0000),IPCA
IGSN15,552,-10.2374,0.0,8,-3.4425,-2.8669,-2.5696,True,Rejeita H0 (p=0.0000),IPCA
KLBNA2,455,-7.9798,0.0,5,-3.445,-2.868,-2.5702,True,Rejeita H0 (p=0.0000),DI
VALE19,582,-11.4687,0.0,5,-3.4418,-2.8666,-2.5694,True,Rejeita H0 (p=0.0000),IPCA
LIGHA9,586,-16.0597,0.0,4,-3.4417,-2.8665,-2.5694,True,Rejeita H0 (p=0.0000),IPCA
LIGHB0,511,-8.7906,0.0,9,-3.4435,-2.8673,-2.5699,True,Rejeita H0 (p=0.0000),IPCA
NTEN11,561,-11.5274,0.0,7,-3.4422,-2.8668,-2.5696,True,Rejeita H0 (p=0.0000),IPCA
RUMOA4,609,-16.1543,0.0,4,-3.4412,-2.8663,-2.5693,True,Rejeita H0 (p=0.0000),IPCA
LAMEA1,479,-5.7447,1e-06,7,-3.4443,-2.8677,-2.57,True,Rejeita H0 (p=0.0000),DI
COCE27,655,-19.2504,0.0,2,-3.4404,-2.866,-2.5691,True,Rejeita H0 (p=0.0000),IPCA
NASX13,1073,-13.3567,0.0,9,-3.4365,-2.8643,-2.5682,True,Rejeita H0 (p=0.0000),IPCA
MTRJ19,349,-7.534,0.0,12,-3.45,-2.8702,-2.5714,True,Rejeita H0 (p=0.0000),IPCA
RLOG11,386,-9.8767,0.0,10,-3.4479,-2.8693,-2.5709,True,Rejeita H0 (p=0.0000),DI
ENEV22,399,-8.53,0.0,9,-3.4473,-2.869,-2.5707,True,Rejeita H0 (p=0.0000),DI
TBLE26,780,-15.1351,0.0,5,-3.4388,-2.8653,-2.5688,True,Rejeita H0 (p=0.0000),IPCA
FURN21,499,-10.4946,0.0,7,-3.4437,-2.8674,-2.5699,True,Rejeita H0 (p=0.0000),IPCA
CESPA2,332,-4.9806,2.4e-05,17,-3.4513,-2.8708,-2.5717,True,Rejeita H0 (p=0.0000),IPCA
NCFP13,366,-5.7534,1e-06,7,-3.4487,-2.8696,-2.5711,True,Rejeita H0 (p=0.0000),DI
ELET23,341,-12.07,0.0,4,-3.45,-2.8702,-2.5714,True,Rejeita H0 (p=0.0000),IPCA
CTEE18,575,-12.1005,0.0,9,-3.442,-2.8667,-2.5695,True,Rejeita H0 (p=0.0000),IPCA
ENEV15,576,-11.5487,0.0,8,-3.4419,-2.8667,-2.5695,True,Rejeita H0 (p=0.0000),IPCA
CTEE29,444,-12.7678,0.0,5,-3.4454,-2.8682,-2.5703,True,Rejeita H0 (p=0.0000),IPCA
VALE18,605,-2.1176,0.237488,17,-3.4415,-2.8665,-2.5694,False,Nao rejeita H0 (p=0.2375),IPCA
EGIE29,785,-15.3151,0.0,6,-3.4388,-2.8653,-2.5688,True,Rejeita H0 (p=0.0000),IPCA
ELPLB3,383,-5.8011,0.0,12,-3.4481,-2.8694,-2.5709,True,Rejeita H0 (p=0.0000),DI
