Subconjunto_de_Variaveis,Quantidade_de_Variaveis,Silhouette_Score,Davies_Bouldin,CH_Score,CH_Score_Log,Borda_Score
"Taxa_ZScore, Volatilidade_EGARCH",2,0.9843,0.3872,78219.5604,11.2673,160.0000
"Taxa_ZScore, Volatilidade_EGARCH, Expected_Shortfall_99",3,0.9842,0.3872,77865.8386,11.2628,156.0000
"Taxa_ZScore, Volatilidade_EGARCH, VaR_99",3,0.9839,0.3872,77901.6318,11.2632,154.0000
"Taxa_ZScore, Spread_Range_Intraday",2,0.9415,0.2784,111444.6355,11.6213,151.0000
"Taxa_ZScore, Expected_Shortfall_99, Spread_Range_Intraday",3,0.9514,0.2994,108169.2834,11.5915,151.0000
"Taxa_ZScore, Spread_Range_Intraday, Spread_Skew_Intraday",3,0.9390,0.2797,111136.7729,11.6185,148.0000
"Taxa_ZScore, Volatilidade_EGARCH, Spread_Skew_Intraday",3,0.9839,0.3937,73501.0060,11.2051,148.0000
"Taxa_ZScore, Volatilidade_EGARCH, VaR_99, Expected_Shortfall_99",4,0.9838,0.3873,77550.5587,11.2587,148.0000
"Taxa_ZScore, Expected_Shortfall_99, Spread_Range_Intraday, Spread_Skew_Intraday",4,0.9495,0.3003,107830.4200,11.5883,148.0000
"Taxa_ZScore, Volatilidade_EGARCH, Expected_Shortfall_99, Spread_Skew_Intraday",4,0.9838,0.3937,73186.7817,11.2008,142.0000
"Taxa_ZScore, VaR_99, Expected_Shortfall_99, Spread_Range_Intraday",4,0.9488,0.3007,100402.3479,11.5170,141.0000
"Taxa_ZScore, VaR_99, Spread_Range_Intraday",3,0.9493,0.3005,94753.8421,11.4590,139.0000
"Taxa_ZScore, Volatilidade_EGARCH, VaR_99, Spread_Skew_Intraday",4,0.9835,0.3937,73196.2925,11.2009,139.0000
"Taxa_ZScore, Volatilidade_EGARCH, Spread_Equivalente",3,0.9836,0.3947,73195.2642,11.2009,138.0000
"Taxa_ZScore, VaR_99, Expected_Shortfall_99, Spread_Range_Intraday, Spread_Skew_Intraday",5,0.9471,0.3015,100134.8850,11.5143,136.0000
"Taxa_ZScore, VaR_99, Spread_Range_Intraday, Spread_Skew_Intraday",4,0.9474,0.3014,94393.9289,11.4552,134.0000
