Indexador,Ativo,Dias_Out_Of_Sample,Dias_Violacao_VaR_Esperados,Dias_Violacao_VaR_Reais,P_Valor_POF,POF_Valido,P_Valor_CC,CC_Valido,P_Valor_Joint,Joint_Valido,Modelo_Valido,POF_Valido_Num,Joint_90,Joint_95,Joint_99
CDI_Percentual,CEEBB2,177,1.7700,4,0.1482,SIM,0.6662,SIM,0.3203,SIM,SIM,1,1,1,1
CDI_Percentual,CEPE20,59,0.5900,1,0.6255,SIM,,SIM,,SIM,SIM,1,0,0,0
CDI_Percentual,CPGT14,77,0.7700,3,0.0523,SIM,0.0774,SIM,0.0320,NÃO,NÃO,1,0,0,1
CDI_Percentual,CPGT16,200,2.0000,2,1.0000,SIM,0.8403,SIM,0.9799,SIM,SIM,1,1,1,1
CDI_Percentual,CSMGB3,78,0.7800,5,0.0013,NÃO,0.4045,SIM,0.0039,NÃO,NÃO,0,0,0,0
CDI_Percentual,CSRN39,18,0.1800,0,0.5475,SIM,,SIM,,SIM,SIM,1,0,0,0
CDI_Percentual,CVCB14,161,1.6100,2,0.7660,SIM,0.8220,SIM,0.9327,SIM,SIM,1,1,1,1
CDI_Percentual,DASAA1,215,2.1500,43,0.0000,NÃO,0.4764,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Percentual,DASAB0,192,1.9200,18,0.0000,NÃO,0.0601,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Percentual,DASAC0,348,3.4800,36,0.0000,NÃO,0.2803,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Percentual,EBENA0,15,0.1500,1,0.1431,SIM,0.6947,SIM,0.3170,SIM,SIM,1,1,1,1
CDI_Percentual,ELEK27,41,0.4100,2,0.0727,SIM,0.6463,SIM,0.1797,SIM,SIM,1,1,1,1
CDI_Percentual,ELPLB3,51,0.5100,6,0.0000,NÃO,0.2450,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Percentual,ESCE18,12,0.1200,1,0.1105,SIM,,SIM,,SIM,SIM,1,0,0,0
CDI_Percentual,GGBRB6,58,0.5800,1,0.6153,SIM,0.8501,SIM,0.8658,SIM,SIM,1,1,1,1
CDI_Percentual,HAPV11,213,2.1300,11,0.0000,NÃO,0.1083,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Percentual,HAPV21,353,3.5300,22,0.0000,NÃO,0.1920,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Percentual,IGTA17,26,0.2600,5,0.0000,NÃO,0.1607,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Percentual,IGTA37,34,0.3400,2,0.0497,NÃO,0.6113,SIM,0.1281,SIM,SIM,0,1,1,1
CDI_Percentual,KLBNA2,557,5.5700,27,0.0000,NÃO,0.0968,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Percentual,LCAMA7,14,0.1400,3,0.0003,NÃO,0.1764,SIM,0.0005,NÃO,NÃO,0,0,0,0
CDI_Percentual,LORTA2,174,1.7400,7,0.0025,NÃO,0.4775,SIM,0.0081,NÃO,NÃO,0,0,0,0
CDI_Percentual,LORTA3,11,0.1100,0,0.6382,SIM,,SIM,,SIM,SIM,1,0,0,0
CDI_Percentual,LORTA5,278,2.7800,6,0.0925,SIM,0.6062,SIM,0.2128,SIM,SIM,1,1,1,1
CDI_Percentual,LORTB3,221,2.2100,7,0.0098,NÃO,0.4975,SIM,0.0283,NÃO,NÃO,0,0,0,1
CDI_Percentual,LORTD4,24,0.2400,1,0.2437,SIM,0.7630,SIM,0.4844,SIM,SIM,1,1,1,1
CDI_Percentual,MULP16,116,1.1600,8,0.0000,NÃO,0.5592,SIM,0.0001,NÃO,NÃO,0,0,0,0
CDI_Percentual,MULP17,62,0.6200,0,0.2643,SIM,,SIM,,SIM,SIM,1,0,0,0
CDI_Percentual,PETR36,233,2.3300,9,0.0008,NÃO,0.3414,SIM,0.0024,NÃO,NÃO,0,0,0,0
CDI_Percentual,RADL14,120,1.2000,3,0.1653,SIM,0.0460,NÃO,0.0522,SIM,SIM,1,0,1,1
CDI_Percentual,SAPR29,66,0.6600,28,0.0000,NÃO,0.2954,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Percentual,SULM16,11,0.1100,1,0.0998,SIM,,SIM,,SIM,SIM,1,0,0,0
CDI_Percentual,TAEE16,120,1.2000,4,0.0429,NÃO,0.6485,SIM,0.1161,SIM,SIM,0,1,1,1
CDI_Percentual,TFLE15,18,0.1800,0,0.5475,SIM,,SIM,,SIM,SIM,1,0,0,0
CDI_Percentual,TFLE16,36,0.3600,1,0.3787,SIM,0.8084,SIM,0.6591,SIM,SIM,1,1,1,1
CDI_Percentual,UNDAA1,25,0.2500,4,0.0001,NÃO,0.2044,SIM,0.0002,NÃO,NÃO,0,0,0,0
CDI_Percentual,UNDAA2,10,0.1000,0,0.6539,SIM,,SIM,,SIM,SIM,1,0,0,0
CDI_Percentual,UNDAC1,163,1.6300,4,0.1155,SIM,0.6527,SIM,0.2619,SIM,SIM,1,1,1,1
CDI_Percentual,UNDAC2,255,2.5500,7,0.0211,NÃO,0.5287,SIM,0.0575,SIM,SIM,0,0,1,1
CDI_Percentual,UNDAC3,81,0.8100,0,0.2020,SIM,,SIM,,SIM,SIM,1,0,0,0
CDI_Spread,AALM11,305,3.0500,11,0.0004,NÃO,0.3634,SIM,0.0013,NÃO,NÃO,0,0,0,0
CDI_Spread,AEGP13,76,0.7600,7,0.0000,NÃO,0.2295,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,AEGP14,196,1.9600,9,0.0002,NÃO,0.3795,SIM,0.0008,NÃO,NÃO,0,0,0,0
CDI_Spread,AEGP17,363,3.6300,17,0.0000,NÃO,0.8191,SIM,0.0000,NÃO,NÃO,0,0,0,0
